,Tweet
87,Favs 
88,We will heal. We will cu
89,"God is so good 😊 Today I am voting for the first time in my life for the President of the United States, and it's f… "
90,I channel Will Ferrel when I’m at the daddy daughter dances
91,Life is the ultimate gif
92,So many of us need so much less than we have especially when so many of us are in need
93,I hear people say ... this person is cool and this person is not cool... people are cool... man has never invented… 
94,I was just speaking with someone that told me their life story and they used to be homeless We must and will c… 
95,We as a people will heal. We will insure the well being of each oth
96,There are people sleeping in parking lots
97,We will cure hun
98,The Weekend as The Nutty Professor was hands down the best costume this Halloween ⛷ 
99,Praise God. Thank you so much #DoveAwards God continues to send encouragement Good is winning Things are changing Praise God 
100,How it’s going 🇺🇸 
101,How the day started 🙃 
102,THE ROCK IS STILL ALIVE 
103, : New Sheck Wes snippet titled ‘RICH ONEDAY’ 
104, VISION 🇺🇸 
105,Dear Future started as an op-ed and turned into a VISION PRAYER 🕊 
106, VISION 
107,"DEAR FUTURE, I STILL BELIEVE IN YOU PRINTED IN THE NEW YORK TIMES THIS MORNING  "
108,EMPATHY IS THE GLUE
109,NAH NAH NAH REMIX DABABY &  
110,"DEAR FUTURE, I STILL BELIEVE IN YOU YEEZY CHRISTIAN ACADEMY "
111,We will heal 
112,EVERYDAY JOEL’S NEW SERMONS ARE SUPER UPLIFTING AND INSPIRING PRAISE GOD FOR THE MOTIVATION JESUS STAYS WINNING 
113,Halloween coming 💀 
114,🤔 I was at  million followers  weeks ago and now I’ve been held at . million followers for the last  weeks 🤔🤔🤔 
115,"Just to be CLEAR: WE ARE IN ENGAGED WITH HAITI’s GOVERNMENT to make a transformational INVESTMENT to bring JOBS, DEVELOPMENT, HELP SUPPORT LOCAL FARMERS and FISHERMEN and Build a new « CITY OF THE FUTURE » in a very beautiful country"
116,Wow 😳 that Rogan interview got em shook Let’s gooooooooo 
117,Some Monday morning joy at YEEZY CHRISTIAN ACADEMY 
118, Let’s
119,WRITE IN KANYE WEST THERE IT IS 
120,HOW TO WRITE IN KANYE WEST 
121,GOD IS LOVE LEADING WITH LIGHT  
122,Been doing empty stadiums Happy  birthday!!! I love you so much 
123,VOTE KANYE 
124,OUR BEAUTIFUL LIGHT CLEAR REALITY 
125,DABABY TURNED THIS VERSE AROUND SO QUICK ITS INSPIRATIONAL TO SEE HOW FAST WE CAN MOVE AS A PEOPLE. I HAD TO GIVE YALL AT LEAST A SNIPPET. 
126,DABABY TURNED THIS VERSE AROUND SO QUICK ITS INSPIRATIONAL TO SEE HOW FAST WE CAN MOVE AS A PEOPLE. I HAD TO GIVE YALL AT LEAST A SNIPPET. WHAT YOU THIS ISSA RAE A THINK ABOUT THIS ONE 🤔 
127, : If you believe in me and think that  should let me give him this painting; please retweet this. I am % determ…
128,Had to tweet the new ideas 🙈 
129,Food tasting at YCA new menu going yaezeeeeeeeer 
130,GOD SAVE AMERICA 
131,The forces that our for you are greater than the forces coming against you - Joel Olsteen
132,👀 
133,"Pro-“LIFE”- eration, redemption, reparation, (attaching new tissue organically, rebuilding
Maturation:
- the scab over the wound, this is when you KNOW you are healed, better than ever, thicker, stronger, more fortified"
134,"Stages of Healing:
The Wound:
- acknowledging adverse impacts (societal, mental, physical, economic)
Inflammation:
- Analogy of white blood cell (protectors) rushing to the site of injury, fortification, rallying in support
Proliferation"
135,"H.E.A.L
HOLDING EVERYBODY ACCOUNTABLE for LOVE ! -"
136,I spoke to Dave Chapelle for two hours this morning. He is our modern day Socrates
137, : 
138,Jaden Smith Cool Tape Volume  I was driving this morning and saw this poster I’m so proud of this man. He’s one of my favorite artist and people The world needs more super heroes like this 
139,Ive always said SNL uses black people to hold other black people back My heart goes out to Issa Rae I’m praying for her and her family I know that the twenty years of service that I’ve paid in the entertainment field has furthered our ability to be more successful 
140,WRITE IN KANYE WEST 
141,My memories are from the futu
142,Joe Rogan said it’s cool for me to design the set for our podcast this Friday ⛷ 
143,IF I WOULD PUT MYSELF IN HARMS WAY TO GET MY MASTERS THEY WOULD PUT THEMSELVES IN HARMS WAY TO STAY THE MASTER
144,Ideas happen twice Once in your head Once in reality -BUJU BANTON YEEZY IS SIMPLY A MIX OF HYPE WILLIAMS AND GEORGE LUCAS they set the ideas in my head and now YEEZY is bringing these ideas to our physical real world in service to God
145,Chicago!  will be World Premiering my new single ‘Nah Nah Nah’ @  on  #ThisChicago Artwork by Wes Lang 
146,TODAY IS THE FIRST DAY OF EARLY VOTING IN LOUISIANA.   VOTE KANYE 
147,I’M OFFICIALLY A WRITE-IN CANDIDATE IN THE STATE OF MARYLAND.  VOTE KANYE. 
148,"The Town Halls last night showed two different sides of America. It’s time for healing.
“He himself bore our sins” in his body on the cross, so that we might die to sins and live for righteousness; “by his wounds you have been healed.”  Peter :"
149,Thank God for the favor the increase and these YEEZY SLIIIIIIIDZZZZ ⛷ thank Billboard awards for the  nominations and  wins. Invite me next time and I’ll pull up 
150, : #GODSAVEAMERICA  
151, : 🎤🎤🎤🎤
152," : We need president who put god will in priority 🙏 and love all people ❤️  is my president 🤝 small head, BIG HEA…"
153,Love this game 
154, Praise God 🙏🏾 
155, :  we stepping out on faith 
156,Pray for Armenia 
157,"At least  are reported dead as of yesterday in the conflict
Deaths mount in Armenia-Azerbaijan clashes amid truce calls"
158, : Kid Cudi talks 'Kids See Ghosts' and HBO series 'We Are Who We Are' in new interview:  
159, : THIS IS MY GOAT PRESIDENT‼️🤍
160, : Hi  we need this bad bro🙏🏾🙏🏾🔥
161," : ""THE WHOLE TEAM IS SO ENERGIZED THAT I HAD TO RELEASE THEME MUSIC NAH NAH NAH."" "
162," : bro he dont MISS  years in still making hits, unrea"
163, : bro WHAT this song is so hard
164, : WE NEED THIS TOO YE!!
165, : #KanyeWest tryna get on the #JoeRogan show! Would y’all watch this?👇🤔   
166," : ⬇️ TODAY IN HIP-HOP ⬇️
: UMC’s release their debut album Fruits of Nature
What’s their best song? "
167,THE WHOLE TEAM IS SO ENERGIZED THAT I HAD TO RELEASE THEME MUSIC NAH NAH NAH 
168,I’M SO ENERGIZED I HAD TO DROP A NEW SONG NAH NAH NAH 
169, : YE  AFTER ALL? Kanye West is leading Joe Biden and Donald Trump in Kentucky precinct voting polls 🇺🇸🗳 
170,My friend Eli’s hoodie Love this 
