,Tweet
101,dear future i still believe in you printed in the new york times this morning
102,empathy is the glue
103,nah nah nah remix dababy
104,dear future i still believe in you yeezy christian academy
105,we will heal
106,everyday joel’s new sermons are super uplifting and inspiring praise god for the motivation jesus stays winning
107,halloween coming 💀
108,🤔 i was at  million followers  weeks ago and now i’ve been held at  million followers for the last  weeks 🤔🤔🤔
109,just to be clear we are in engaged with haiti’s government to make a transformational investment to bring jobs development help support local farmers and fishermen and build a new « city of the future » in a very beautiful country
110,wow 😳 that rogan interview got em shook let’s gooooooooo
111,some monday morning joy at yeezy christian academy
112,let’s
113,write in kanye west there it is
114,how to write in kanye west
115,god is love leading with light
116,been doing empty stadiums happy  birthday i love you so much
117,vote kanye
118,our beautiful light clear reality
119,dababy turned this verse around so quick its inspirational to see how fast we can move as a people i had to give yall at least a snippet
120,dababy turned this verse around so quick its inspirational to see how fast we can move as a people i had to give yall at least a snippet what you this issa rae a think about this one 🤔
121,mahasattva if you believe in me and think that kanyewest should let me give him this painting please retweet this i am  determ…
122,had to tweet the new ideas 🙈
123,food tasting at yca new menu going yaezeeeeeeeer
124,god save america
125,the forces that our for you are greater than the forces coming against you  joel olsteen
126,👀
127,pro“life” eration redemption reparation attaching new tissue organically rebuildingmaturation the scab over the wound this is when you know you are healed better than ever thicker stronger more fortified
128,stages of healingthe wound acknowledging adverse impacts societal mental physical economicinflammation analogy of white blood cell protectors rushing to the site of injury fortification rallying in supportproliferation
129,healholding everybody accountable for love
130,i spoke to dave chapelle for two hours this morning he is our modern day socrates
131,adele
132,jaden smith cool tape volume  i was driving this morning and saw this poster i’m so proud of this man he’s one of my favorite artist and people the world needs more super heroes like this
133,ive always said snl uses black people to hold other black people back my heart goes out to issa rae i’m praying for her and her family i know that the twenty years of service that i’ve paid in the entertainment field has furthered our ability to be more successful
134,write in kanye west
135,my memories are from the futu
136,joe rogan said it’s cool for me to design the set for our podcast this friday ⛷
137,if i would put myself in harms way to get my masters they would put themselves in harms way to stay the master
138,ideas happen twice once in your head once in reality buju banton yeezy is simply a mix of hype williams and george lucas they set the ideas in my head and now yeezy is bringing these ideas to our physical real world in service to god
139,chicago djpharris will be world premiering my new single ‘nah nah nah’   on  thischicago artwork by wes lang
140,today is the first day of early voting in louisiana   vote kanye
141,i’m officially a writein candidate in the state of maryland  vote kanye
142,the town halls last night showed two different sides of america it’s time for healing“he himself bore our sins” in his body on the cross so that we might die to sins and live for righteousness “by his wounds you have been healed”  peter
143,thank god for the favor the increase and these yeezy sliiiiiiidzzzz ⛷ thank billboard awards for the  nominations and  wins invite me next time and i’ll pull up
144,jesuslsking godsaveamerica kanyewest
145,kimkardashian 🎤🎤🎤🎤
146,butsmallhead we need president who put god will in priority 🙏 and love all people ❤️ kanyewest is my president 🤝 small head big hea…
147,love this game
148,praise god 🙏🏾
149,kanyewest  we stepping out on faith
150,pray for armenia
151,at least  are reported dead as of yesterday in the conflictdeaths mount in armeniaazerbaijan clashes amid truce calls
152,complexmusic kid cudi talks kids see ghosts and hbo series we are who we are in new interview
153,jeisiah this is my goat president‼️🤍
154,excitebikee hi kanyewest we need this bad bro🙏🏾🙏🏾🔥
155,hypebeast the whole team is so energized that i had to release theme music nah nah nah
156,thelifeofjulian bro he dont miss  years in still making hits unrea
157,thelifeofjulian bro what this song is so hard
158,thelifeofjulian we need this too ye
159,worldstar kanyewest tryna get on the joerogan show would y’all watch this👇🤔 kanyewest joerogan
160,xxl ⬇️ today in hiphop ⬇️ umc’s release their debut album fruits of naturewhat’s their best song
161,the whole team is so energized that i had to release theme music nah nah nah
162,i’m so energized i had to drop a new song nah nah nah
163,sohh ye  after all kanye west is leading joe biden and donald trump in kentucky precinct voting polls 🇺🇸🗳
164,my friend eli’s hoodie love this
165,how to write in kanyewest for president of the united states
166,peole tried to talk me out of running for president never let weak controlling people kill your spiri
167,get the west wing ready   this is how i felt when i saw that kentucky pole result 🌎🌍🌏🪐💫☄️💥🔥🇺🇸
168,👀
169,thai horn melon
170,my condolences to the family and the people of manchester tennessee who lost their dedicated mayor lonnie norman to
171,early voting starts today in kentucky     vote kanye
172,friends writing me in ⛷
173,i stand with my nigerian brothers and sisters to end police brutality the government must answer to the peoples cries endpolicebrutalityinnigeria
174,we stepping out on faith
175,justmattbentley 🤯
176,we stepping out on faith
177,i love uzi i be saying the same thing about steve jobs i be feeling just like uzi
178,black babies lives matter  black children are aborted daily 👀
179,would love to go on joe rogan’s podcast live this week i have my team trying to get your number joe i’m in calabassas let’s do this my friend ⛷
180,congratulations to the la lakers on winning the nba championship kobe‘s and gigi’s spirit are alive and i know they’re smiling down on us lebron you told us you would win this championship for kobe and you didn’t let our boy down 🕊🕊
181,friends writing me in 🕊
182,kanye  vision purple hat sold the most by far praise god thanks you guys for your support
183,you think the yankees might need jesus tonight
184,from  million in debt to a net worth of  billion in  years thank you jesus i know i fall short but i repent i am fully in service to our lord and savior jesus christ we are building schools of the future thank god for providing the increase
185,masterpmiller hoody hoos we went from hip hop to creating and selling our own products unclepcereal we changing the game salute a…
186,they had to get the merch first
187,my condolences to the family of fashion designer kenzo takada who has recently passed away from
188,there’s a crying need for civility across the board  we need to and will come together in the name of jesusi’m praying for president trump’s and melania’s full recovery just as i would for joe and jill biden if they were stricken as well as everyone else with
189,ameer sudan in atlanta
190,tes
191,ameer sudan made it to atlanta
192,bron pass it to
193,bron pass it to
194,lamborghini light dinner
195,praying for armenia praying for breonna taylor’s family praying for a world ravaged by the pandemic praying for god’s love to cover us all cover our friends and family soften the hearts of the world thank you god for our lives in jesus name amen
196,praying for armenia praying for breonna taylor’s family praying for a world ravaged by the pandemic praying for gods love to cover us all cover our friends and family soften the hearts of the world thank you god for our lives in jesus name amen
197,praying for armenia praying for breonna tayler’s family praying for a world ravaged by the pandemic praying for gods love to cover us all cover our friends and family soften the hearts of the world thank you god for our lives in jesus name amen
198,praying for armenia praying for breonna tayler’s family praying for a world ravaged by the pandemic praying for gods love to cover us all cover our friends and family soften the hearts of the world thank you god for our lives in jesus name amen
199,praying for armenia praying for breoona tayler’s family praying for a world ravaged by the pandemic praying for gods love to cover us all cover our friends and family soften the hearts of the world thank you god for our lives in jesus name amen
200,praying for armenia praying for breoona taylers family praying for a world ravaged by the pandemic praying for gods love to cover us all cover our friends and family soften the hearts of the world thank you god for our lives in jesus name amen
201,dinner for  🕊
202,our queen speaking on the matrix
203,believe what i say snippet
204,we are here to complete the revolutionwe are are building the future
205,haiti is where our people started the first revolution that freed us from slavery
206,this is who we really are
207,ernesto neto
208,you guys like stuff  🦔
209,bowl
210,hoodie 👀
211,pockets
212,color
213,food
214,concept
215,🦈
216,bianca saunders
217,david koma i liked this collection a lot
218,⛷
219,yum
220,🦔
221,🦡
222,noguchi
223,hi guys  do you guys like stuff 🦈
224,when the black head of universal wont speak to a black artist about freedom  this is america in
225,i wonder if mary has her masters🤔
226,🙃
227,good morning vincent ⛷
228,good morning guys ⛷
229,joel katz and ameer sudan
230,mood
231,apparently jeff harleston is very hurt and frustrated now he knows how all us artist feel isn’t he the head of artist relations or something in that vein how could he be told to not speak to me at a time like this but he would speak to joel 🤔
232,my brothers  and dave chappelle called me to support
233,i’m changing the things i can’t change
234,james lindsay is the most important and powerful entrepreneur in the world  he don’t got to beg to be on boards seats he made his own james is truly free
235,my first pillar when i’m on the board of adidas will be an adidas nike collaboration to support community growth
236,i watch bladerunner on repeat
237,denis villeneuve
238,we will be recognized
239,⛷
240,i’m not releasing nothing on gap till i’m on the board
241,i’m wearing jordans till i’m on the board of adidas ⛷
242,osheajacksonjr next to kobe and shaq this might be my favorite du
243,🤔
244,laquan smith and hype williams
245,laquan smith and hype williams
246,laquan smith and hype williams
247,laquan smith and hype williams
248,sci fi
249,now let’s have universal match me
250,i’m giving all good music artist back the  share i have of their masters
251,yzy farm to table ⛷ it’s a good start
252,we must form a union we must unify
253,neil young basically has his own spotify
254,my mama was a’ english teacher i know how to use correct english but sometimes i just don’t feel like it aaaand i ain’t got to ⛷
255,i believe master p and uncle luke we’re fully independent they pressed they own viny
256,been trying to connect with master p and baby i’ve always felt they understood how to be independen
257,winning is the only option
258,getting our simplified donda gardens together no squash 🤷🏾‍♂️ aaaaand definitely no broccoli 🤣
259,🕊
260,⛷
261,yzy design meeting with mark miner and randal yarborough
262,the last post showing the bollore board was missing photos  here goes everyone ⛷
263,and my super duper pooper scooper star ship trooper best friends at bollore 😊
264,my new friends at vivendi 😊
265,these are all going to be my best friends some day 😊 universal
266,mae is right about that line  i always felt funny about that line  mae is one of my favorite rappers and i based a lot of my flows off of him  i’m the king of “ooh can i get away with this bars” so i reap what i sow when the next generation does the same to m
267,there are  main pillars in a professional musicians business recording publishing touring merchandise  name and likeness
268,there are  main pillars in a professional musicians business publishingrecording touring merchandise name and likeness
269,this is a call for all artist to unify  i will get my masters  i got the most powerful lawyer in music and i can afford them but every artist must be freed and treated fairly
270,portalsare not just for royalties they are for your entire business  every audio file every asset every deal stored with the money money and music must stay together when your term ends download it all leav
271,it sounds basic and logical but t does not exist they focus on top earners and zero look at the  stores… only the top few artists are global that’s why their contract territory says globalroyalty department in every label no more separating finance teams from the music
272,royaltiesagain back to dependents you need a business manager to read how you did so you pay to see your money no moreroyalty portals need to show and do not nowevery song you deliveredevery store you are inhow many streams per songincome per son
273,advances are just loanson artists resigning these stop advances are loans with  interest rates or worse no other business in the world takes a look at the business buys shares starts to profit when it profits record companies have to buy into you not loan you
274,umg now has a  billion share holding stake in spotify this is the artists the system as to how we get share balances on our royalty statement needs to be created and a system on when artists can cash in
275,no more blanket licenses it should be clear from day one… what shares you get now and when you leave if your song helps a deal over the line you invested in that store  app same as they did
276,equity  blanket licenses are the majority of future new incomeif you’re with a major you have invested your ‘songs’ as shares in their power to get equity and deals almost all new deals now are based on all songs going to a store or app the equity is the artists
277,lawyersthe first thing that changes about record deals is actually lawyerswe need plain english contracts a lawyers role is to improve deals… not charge for contracts we cannot understand or track rewrite deals to be understandable from first read
278,dependantsartists must be dependent on no one but themselves to manage their catalog you should need no one else to understand the business you’re in
279,the record label  publisher is a service provider that receives a share of the income for a limited term the split can be  in the artists fav
280,the artist owns the copyright in the recordings and songs and leases them to the record label  publisher for a limited term  year deals
281,new recording and publishing deal guidelines
282,two years ago we had  million people subscribed to music streaming services around the world today we have  million  x growth by the end of this year we will have  million by the end of the decade we’ll have  billion as projected by jp morgan goldman sachs etc
283,speaking biggs now  i shouldn’t have said anything about puma publicly  i apologize to emory and jay and the entire puma c
284,steve rifkind pulling up to change the music game forever
285,yeezy christian academy
286,greatness in the making
287,we’re gonig to transparently change every album deal every publishing deal every merch deal every touring deal except for drake’s deals 🤣 just kidding  i love drake too  all artist must be free
288,we’re gonig to transparently change every album deal every publishing deal every merch deal touring deal except for drake’s deals 🤣 just kidding  i love drake too  all artist must be free
289,we’re going to move the entire music industry into the  century
290,culture is the most powerful force in humanity under god
291,i’m going to personally see to it that taylor swift gets her masters back scooter is a close family friend
292,eminem thank you for rapping on the dr dre remix of use this gospel i havw always loved and respected you and im honored to have you bless this song  its also north west’s favorite kanye west song of all time
293,eminem thank you for rapping on the dr dre remix of my daughter’s favorite song of mine use this gospel
